,filename,height,width,x1,y1,x2,y2,x3,y3,x4,y4,x1_new,y1_new,x2_new,y2_new,x3_new,y3_new,x4_new,y4_new,resizedfilename
40,D:/generated_image/32861-identifyCardReverse_DSC_0013__4.png,2308,2032,725,198,1682,576,1134,2054,186,1738,11,2,26,7,17,28,2,24,32861-identifyCardReverse_DSC_0013__4.png
41,D:/generated_image/32861-identifyCardReverse_DSC_0013__5.png,2356,2135,861,200,1781,660,1106,2085,189,1687,12,2,26,8,16,28,2,22,32861-identifyCardReverse_DSC_0013__5.png
42,D:/generated_image/32865-identifyCardReverse_DSC_0013__0.png,3085,4084,408,627,3749,644,3807,2908,238,2730,3,6,29,6,29,30,1,28,32865-identifyCardReverse_DSC_0013__0.png
43,D:/generated_image/32865-identifyCardReverse_DSC_0013__1.png,3420,4325,614,656,3941,964,3801,3224,262,2736,4,6,29,9,28,30,1,25,32865-identifyCardReverse_DSC_0013__1.png
44,D:/generated_image/32865-identifyCardReverse_DSC_0013__2.png,3729,4533,816,679,4103,1276,3767,3515,283,2721,5,5,28,10,26,30,1,23,32865-identifyCardReverse_DSC_0013__2.png
45,D:/generated_image/32865-identifyCardReverse_DSC_0013__3.png,4010,4707,1012,698,4235,1580,3704,3781,303,2686,6,5,28,12,25,30,2,21,32865-identifyCardReverse_DSC_0013__3.png
46,D:/generated_image/32866-identifyCardReverse_DSC_0013__0.png,2504,3306,135,232,3052,298,3009,2146,75,2064,1,2,29,3,29,27,0,26,32866-identifyCardReverse_DSC_0013__0.png
47,D:/generated_image/32866-identifyCardReverse_DSC_0013__1.png,2775,3502,328,238,3228,558,3024,2396,108,2058,2,2,29,6,27,27,0,23,32866-identifyCardReverse_DSC_0013__1.png
48,D:/generated_image/32866-identifyCardReverse_DSC_0013__2.png,3025,3671,517,244,3379,815,3015,2628,140,2038,4,2,29,8,26,27,1,21,32866-identifyCardReverse_DSC_0013__2.png
49,D:/generated_image/32866-identifyCardReverse_DSC_0013__3.png,3252,3812,704,248,3505,1067,2984,2841,172,2002,5,2,29,10,25,27,1,19,32866-identifyCardReverse_DSC_0013__3.png
50,D:/generated_image/32866-identifyCardReverse_DSC_0013__4.png,3455,3924,885,249,3603,1309,2930,3031,201,1950,7,2,29,12,23,28,1,18,32866-identifyCardReverse_DSC_0013__4.png
51,D:/generated_image/32866-identifyCardReverse_DSC_0013__5.png,3631,4006,1059,249,3675,1542,2854,3199,230,1884,8,2,29,13,22,28,1,16,32866-identifyCardReverse_DSC_0013__5.png
52,D:/generated_image/32868-identifyCardReverse_DSC_0013__0.png,1946,2569,54,351,2316,343,2281,1812,36,1740,0,5,28,5,28,29,0,28,32868-identifyCardReverse_DSC_0013__0.png
53,D:/generated_image/32868-identifyCardReverse_DSC_0013__1.png,2157,2722,190,351,2444,541,2281,2001,51,1733,2,5,28,8,26,29,0,25,32868-identifyCardReverse_DSC_0013__1.png
54,D:/generated_image/32868-identifyCardReverse_DSC_0013__2.png,2352,2853,323,350,2551,735,2262,2175,64,1714,3,4,28,10,25,29,0,23,32868-identifyCardReverse_DSC_0013__2.png
55,D:/generated_image/32868-identifyCardReverse_DSC_0013__3.png,2528,2963,454,345,2641,923,2227,2333,77,1682,4,4,28,11,24,29,0,21,32868-identifyCardReverse_DSC_0013__3.png
56,D:/generated_image/32868-identifyCardReverse_DSC_0013__4.png,2685,3050,582,337,2710,1103,2175,2472,90,1636,6,4,28,13,22,29,0,19,32868-identifyCardReverse_DSC_0013__4.png
57,D:/generated_image/32868-identifyCardReverse_DSC_0013__5.png,2822,3114,706,327,2758,1277,2106,2593,102,1578,7,3,28,14,21,29,1,17,32868-identifyCardReverse_DSC_0013__5.png
58,D:/generated_image/32872-identifyCardReverse_DSC_0013__0.png,982,1296,29,70,1288,155,1276,946,1,900,0,2,31,5,31,30,0,29,32872-identifyCardReverse_DSC_0013__0.png
59,D:/generated_image/32872-identifyCardReverse_DSC_0013__1.png,1088,1373,106,70,1353,265,1272,1052,6,895,2,2,31,7,29,30,0,26,32872-identifyCardReverse_DSC_0013__1.png
60,D:/generated_image/32872-identifyCardReverse_DSC_0013__2.png,1186,1439,182,70,1408,373,1258,1150,11,884,4,1,31,10,27,31,0,23,32872-identifyCardReverse_DSC_0013__2.png
61,D:/generated_image/32872-identifyCardReverse_DSC_0013__3.png,1275,1495,258,70,1453,478,1235,1239,16,865,5,1,31,11,26,31,0,21,32872-identifyCardReverse_DSC_0013__3.png
62,D:/generated_image/32872-identifyCardReverse_DSC_0013__4.png,1354,1539,331,69,1486,580,1203,1319,21,840,6,1,30,13,25,31,0,19,32872-identifyCardReverse_DSC_0013__4.png
63,D:/generated_image/32872-identifyCardReverse_DSC_0013__5.png,1423,1571,402,67,1508,677,1161,1388,26,809,8,1,30,15,23,31,0,18,32872-identifyCardReverse_DSC_0013__5.png
64,D:/generated_image/32873-identifyCardReverse_DSC_0013__0.png,1114,1470,151,289,1255,313,1263,1023,109,1001,3,8,27,8,27,29,2,28,32873-identifyCardReverse_DSC_0013__0.png
65,D:/generated_image/32873-identifyCardReverse_DSC_0013__1.png,1234,1557,220,299,1317,419,1264,1127,115,1004,4,7,27,10,25,29,2,26,32873-identifyCardReverse_DSC_0013__1.png
66,D:/generated_image/32873-identifyCardReverse_DSC_0013__2.png,1346,1633,288,308,1370,523,1255,1224,122,1001,5,7,26,12,24,29,2,23,32873-identifyCardReverse_DSC_0013__2.png
67,D:/generated_image/32873-identifyCardReverse_DSC_0013__3.png,1447,1695,352,313,1413,622,1237,1310,127,989,6,6,26,13,23,28,2,21,32873-identifyCardReverse_DSC_0013__3.png
68,D:/generated_image/32873-identifyCardReverse_DSC_0013__4.png,1537,1745,415,317,1444,716,1209,1387,132,970,7,6,26,14,22,28,2,20,32873-identifyCardReverse_DSC_0013__4.png
69,D:/generated_image/32873-identifyCardReverse_DSC_0013__5.png,1615,1782,475,317,1466,805,1173,1453,136,944,8,6,26,15,21,28,2,18,32873-identifyCardReverse_DSC_0013__5.png
70,D:/generated_image/32874-identifyCardReverse_DSC_0013__0.png,1536,2413,110,12,2351,67,2379,1496,26,1452,1,0,31,1,31,31,0,30,32874-identifyCardReverse_DSC_0013__0.png
71,D:/generated_image/32874-identifyCardReverse_DSC_0013__1.png,1736,2531,239,20,2467,270,2370,1696,30,1447,3,0,31,4,29,31,0,26,32874-identifyCardReverse_DSC_0013__1.png
72,D:/generated_image/32874-identifyCardReverse_DSC_0013__2.png,1923,2629,366,26,2563,470,2343,1882,33,1430,4,0,31,7,28,31,0,23,32874-identifyCardReverse_DSC_0013__2.png
73,D:/generated_image/32874-identifyCardReverse_DSC_0013__3.png,2095,2707,490,33,2640,667,2297,2054,36,1402,5,0,31,10,27,31,0,21,32874-identifyCardReverse_DSC_0013__3.png
74,D:/generated_image/32874-identifyCardReverse_DSC_0013__4.png,2251,2765,610,40,2698,858,2235,2210,39,1364,7,0,31,12,25,31,0,19,32874-identifyCardReverse_DSC_0013__4.png
75,D:/generated_image/32874-identifyCardReverse_DSC_0013__5.png,2390,2801,726,46,2734,1044,2155,2351,42,1316,8,0,31,13,24,31,0,17,32874-identifyCardReverse_DSC_0013__5.png
76,D:/generated_image/32876-identifyCardReverse_DSC_0013__0.png,1024,1351,33,127,1321,130,1264,898,81,894,0,3,31,4,29,28,1,27,32876-identifyCardReverse_DSC_0013__0.png
77,D:/generated_image/32876-identifyCardReverse_DSC_0013__1.png,1134,1431,109,128,1392,243,1268,1003,90,896,2,3,31,6,28,28,2,25,32876-identifyCardReverse_DSC_0013__1.png
78,D:/generated_image/32876-identifyCardReverse_DSC_0013__2.png,1237,1500,185,128,1453,354,1263,1100,98,891,3,3,30,9,26,28,2,23,32876-identifyCardReverse_DSC_0013__2.png
79,D:/generated_image/32876-identifyCardReverse_DSC_0013__3.png,1329,1558,259,126,1502,462,1248,1189,106,879,5,3,30,11,25,28,2,21,32876-identifyCardReverse_DSC_0013__3.png
80,D:/generated_image/32876-identifyCardReverse_DSC_0013__4.png,1412,1604,331,125,1540,568,1223,1270,113,862,6,2,30,12,24,28,2,19,32876-identifyCardReverse_DSC_0013__4.png
81,D:/generated_image/32876-identifyCardReverse_DSC_0013__5.png,1484,1637,399,122,1565,669,1188,1341,118,837,7,2,30,14,23,28,2,18,32876-identifyCardReverse_DSC_0013__5.png
82,D:/generated_image/32878-identifyCardReverse_DSC_0013__0.png,3076,3076,868,363,2403,289,2381,2894,800,2754,9,3,24,3,24,30,8,28,32878-identifyCardReverse_DSC_0013__0.png
83,D:/generated_image/32878-identifyCardReverse_DSC_0013__1.png,3323,3323,1096,432,2632,493,2382,3086,820,2808,10,4,25,4,22,29,7,27,32878-identifyCardReverse_DSC_0013__1.png
84,D:/generated_image/32878-identifyCardReverse_DSC_0013__2.png,3545,3545,1316,498,2841,693,2367,3254,834,2841,11,4,25,6,21,29,7,25,32878-identifyCardReverse_DSC_0013__2.png
85,D:/generated_image/32878-identifyCardReverse_DSC_0013__3.png,3740,3740,1527,561,3029,888,2333,3398,843,2853,13,4,25,7,19,29,7,24,32878-identifyCardReverse_DSC_0013__3.png
86,D:/generated_image/32878-identifyCardReverse_DSC_0013__4.png,3906,3906,1726,619,3193,1076,2281,3516,844,2843,14,5,26,8,18,28,6,23,32878-identifyCardReverse_DSC_0013__4.png
87,D:/generated_image/32878-identifyCardReverse_DSC_0013__5.png,4043,4043,1911,672,3333,1255,2211,3607,838,2811,15,5,26,9,17,28,6,22,32878-identifyCardReverse_DSC_0013__5.png
88,D:/generated_image/32884-identifyCardReverse_DSC_0013__0.png,972,736,44,409,679,428,665,817,38,816,1,13,29,14,28,26,1,26,32884-identifyCardReverse_DSC_0013__0.png
89,D:/generated_image/32884-identifyCardReverse_DSC_0013__1.png,1030,816,92,410,722,484,675,870,50,815,3,12,28,15,26,27,1,25,32884-identifyCardReverse_DSC_0013__1.png
90,D:/generated_image/32884-identifyCardReverse_DSC_0013__2.png,1079,889,138,407,760,536,679,916,61,806,4,12,27,15,24,27,2,23,32884-identifyCardReverse_DSC_0013__2.png
91,D:/generated_image/32884-identifyCardReverse_DSC_0013__3.png,1121,956,185,401,793,583,679,956,73,793,6,11,26,16,22,27,2,22,32884-identifyCardReverse_DSC_0013__3.png
92,D:/generated_image/32884-identifyCardReverse_DSC_0013__4.png,1154,1016,230,393,820,628,674,989,85,774,7,10,25,17,21,27,2,21,32884-identifyCardReverse_DSC_0013__4.png
93,D:/generated_image/32884-identifyCardReverse_DSC_0013__5.png,1178,1067,272,382,839,667,662,1014,94,748,8,10,25,18,19,27,2,20,32884-identifyCardReverse_DSC_0013__5.png
94,D:/generated_image/32885-identifyCardReverse_DSC_0013__0.png,1458,1104,164,770,1035,770,1051,1351,142,1325,4,16,30,16,30,29,4,29,32885-identifyCardReverse_DSC_0013__0.png
95,D:/generated_image/32885-identifyCardReverse_DSC_0013__1.png,1545,1224,222,779,1089,855,1055,1435,152,1330,5,16,28,17,27,29,3,27,32885-identifyCardReverse_DSC_0013__1.png
96,D:/generated_image/32885-identifyCardReverse_DSC_0013__2.png,1619,1334,277,783,1135,933,1050,1509,160,1325,6,15,27,18,25,29,3,26,32885-identifyCardReverse_DSC_0013__2.png
97,D:/generated_image/32885-identifyCardReverse_DSC_0013__3.png,1681,1435,331,780,1173,1005,1038,1570,167,1310,7,14,26,19,23,29,3,24,32885-identifyCardReverse_DSC_0013__3.png
98,D:/generated_image/32885-identifyCardReverse_DSC_0013__4.png,1731,1524,383,771,1202,1069,1018,1620,173,1285,8,14,25,19,21,29,3,23,32885-identifyCardReverse_DSC_0013__4.png
99,D:/generated_image/32885-identifyCardReverse_DSC_0013__5.png,1767,1601,431,757,1220,1124,989,1658,176,1250,8,13,24,20,19,30,3,22,32885-identifyCardReverse_DSC_0013__5.png
100,D:/generated_image/32891-identifyCardReverse_DSC_0013__0.png,1104,1458,34,136,1435,146,1370,971,88,983,0,3,31,4,30,28,1,28,32891-identifyCardReverse_DSC_0013__0.png
101,D:/generated_image/32891-identifyCardReverse_DSC_0013__1.png,1224,1545,116,137,1510,269,1374,1085,96,986,2,3,31,7,28,28,1,25,32891-identifyCardReverse_DSC_0013__1.png
102,D:/generated_image/32891-identifyCardReverse_DSC_0013__2.png,1334,1619,197,137,1575,390,1368,1191,103,980,3,3,31,9,27,28,2,23,32891-identifyCardReverse_DSC_0013__2.png
103,D:/generated_image/32891-identifyCardReverse_DSC_0013__3.png,1435,1681,276,135,1627,507,1351,1288,109,968,5,3,30,11,25,28,2,21,32891-identifyCardReverse_DSC_0013__3.png
104,D:/generated_image/32891-identifyCardReverse_DSC_0013__4.png,1524,1731,354,133,1667,622,1324,1375,115,948,6,2,30,13,24,28,2,19,32891-identifyCardReverse_DSC_0013__4.png
105,D:/generated_image/32891-identifyCardReverse_DSC_0013__5.png,1601,1767,429,129,1694,730,1287,1451,119,920,7,2,30,14,23,29,2,18,32891-identifyCardReverse_DSC_0013__5.png
106,D:/generated_image/32893-identifyCardReverse_DSC_0013__0.png,1296,982,132,78,844,93,821,1208,122,1209,4,1,27,2,26,29,3,29,32893-identifyCardReverse_DSC_0013__0.png
107,D:/generated_image/32893-identifyCardReverse_DSC_0013__1.png,1373,1088,236,87,944,164,824,1273,127,1213,6,2,27,3,24,29,3,28,32893-identifyCardReverse_DSC_0013__1.png
108,D:/generated_image/32893-identifyCardReverse_DSC_0013__2.png,1439,1186,339,95,1037,233,820,1328,132,1207,9,2,27,5,22,29,3,26,32893-identifyCardReverse_DSC_0013__2.png
109,D:/generated_image/32893-identifyCardReverse_DSC_0013__3.png,1495,1275,438,104,1122,302,810,1374,135,1193,10,2,28,6,20,29,3,25,32893-identifyCardReverse_DSC_0013__3.png
110,D:/generated_image/32893-identifyCardReverse_DSC_0013__4.png,1539,1354,535,111,1199,368,795,1408,138,1170,12,2,28,7,18,29,3,24,32893-identifyCardReverse_DSC_0013__4.png
111,D:/generated_image/32893-identifyCardReverse_DSC_0013__5.png,1571,1423,627,117,1266,431,773,1432,139,1137,14,2,28,8,17,29,3,23,32893-identifyCardReverse_DSC_0013__5.png
112,D:/generated_image/32894-identifyCardReverse_DSC_0013__0.png,785,1037,29,77,1033,96,1022,746,0,735,0,3,31,3,31,30,0,29,32894-identifyCardReverse_DSC_0013__0.png
113,D:/generated_image/32894-identifyCardReverse_DSC_0013__1.png,870,1098,89,78,1088,185,1021,832,3,732,2,2,31,6,29,30,0,26,32894-identifyCardReverse_DSC_0013__1.png
114,D:/generated_image/32894-identifyCardReverse_DSC_0013__2.png,949,1151,148,79,1133,272,1010,911,6,722,4,2,31,9,28,30,0,24,32894-identifyCardReverse_DSC_0013__2.png
115,D:/generated_image/32894-identifyCardReverse_DSC_0013__3.png,1020,1196,207,79,1172,358,993,983,9,708,5,2,31,11,26,30,0,22,32894-identifyCardReverse_DSC_0013__3.png
116,D:/generated_image/32894-identifyCardReverse_DSC_0013__4.png,1083,1231,263,77,1200,440,968,1047,11,686,6,2,31,13,25,30,0,20,32894-identifyCardReverse_DSC_0013__4.png
117,D:/generated_image/32894-identifyCardReverse_DSC_0013__5.png,1139,1257,318,77,1220,519,935,1103,14,661,8,2,31,14,23,30,0,18,32894-identifyCardReverse_DSC_0013__5.png
118,D:/generated_image/32896-identifyCardReverse_DSC_0013__0.png,569,984,159,61,900,55,912,532,149,529,5,3,29,3,29,29,4,29,32896-identifyCardReverse_DSC_0013__0.png
119,D:/generated_image/32896-identifyCardReverse_DSC_0013__1.png,651,1027,201,73,939,132,910,609,150,539,6,3,29,6,28,29,4,26,32896-identifyCardReverse_DSC_0013__1.png
120,D:/generated_image/32896-identifyCardReverse_DSC_0013__2.png,728,1062,242,86,972,209,902,681,151,545,7,3,29,9,27,29,4,23,32896-identifyCardReverse_DSC_0013__2.png
121,D:/generated_image/32896-identifyCardReverse_DSC_0013__3.png,800,1089,281,98,997,284,886,748,149,547,8,3,29,11,26,29,4,21,32896-identifyCardReverse_DSC_0013__3.png
122,D:/generated_image/32896-identifyCardReverse_DSC_0013__4.png,865,1108,318,108,1016,356,864,809,148,544,9,3,29,13,24,29,4,20,32896-identifyCardReverse_DSC_0013__4.png
123,D:/generated_image/32896-identifyCardReverse_DSC_0013__5.png,924,1118,352,119,1026,427,835,864,145,538,10,4,29,14,23,29,4,18,32896-identifyCardReverse_DSC_0013__5.png
124,D:/generated_image/32900-identifyCardReverse_DSC_0013__0.png,939,1239,182,154,996,181,1019,692,146,689,4,5,25,6,26,23,3,23,32900-identifyCardReverse_DSC_0013__0.png
125,D:/generated_image/32900-identifyCardReverse_DSC_0013__1.png,1040,1313,248,168,1056,266,1035,777,165,698,6,5,25,8,25,23,4,21,32900-identifyCardReverse_DSC_0013__1.png
126,D:/generated_image/32900-identifyCardReverse_DSC_0013__2.png,1134,1376,312,181,1109,349,1043,856,183,702,7,5,25,9,24,24,4,19,32900-identifyCardReverse_DSC_0013__2.png
127,D:/generated_image/32900-identifyCardReverse_DSC_0013__3.png,1219,1429,374,191,1152,428,1042,927,200,699,8,5,25,11,23,24,4,18,32900-identifyCardReverse_DSC_0013__3.png
128,D:/generated_image/32900-identifyCardReverse_DSC_0013__4.png,1295,1471,432,201,1188,505,1034,993,215,692,9,4,25,12,22,24,4,17,32900-identifyCardReverse_DSC_0013__4.png
129,D:/generated_image/32900-identifyCardReverse_DSC_0013__5.png,1361,1502,488,209,1214,578,1019,1051,229,680,10,4,25,13,21,24,4,15,32900-identifyCardReverse_DSC_0013__5.png
130,D:/generated_image/32901-identifyCardReverse_DSC_0013__0.png,1105,1506,1377,40,1445,1091,54,1020,17,198,29,1,30,31,1,29,0,5,32901-identifyCardReverse_DSC_0013__0.png
131,D:/generated_image/32901-identifyCardReverse_DSC_0013__1.png,1229,1592,1462,159,1439,1211,59,1020,93,197,29,4,28,31,1,26,1,5,32901-identifyCardReverse_DSC_0013__1.png
132,D:/generated_image/32901-identifyCardReverse_DSC_0013__2.png,1344,1666,1536,276,1421,1323,63,1012,169,195,29,6,27,31,1,24,3,4,32901-identifyCardReverse_DSC_0013__2.png
133,D:/generated_image/32901-identifyCardReverse_DSC_0013__3.png,1448,1728,1599,391,1393,1424,68,995,245,191,29,8,25,31,1,21,4,4,32901-identifyCardReverse_DSC_0013__3.png
134,D:/generated_image/32901-identifyCardReverse_DSC_0013__4.png,1541,1776,1649,503,1354,1513,71,971,317,185,29,10,24,31,1,20,5,3,32901-identifyCardReverse_DSC_0013__4.png
135,D:/generated_image/32901-identifyCardReverse_DSC_0013__5.png,1622,1810,1687,611,1304,1592,74,940,388,178,29,12,23,31,1,18,6,3,32901-identifyCardReverse_DSC_0013__5.png
136,D:/generated_image/32902-identifyCardReverse_DSC_0013__0.png,939,1239,56,104,1183,131,1181,849,32,820,1,3,30,4,30,28,0,27,32902-identifyCardReverse_DSC_0013__0.png
137,D:/generated_image/32902-identifyCardReverse_DSC_0013__1.png,1040,1313,127,107,1248,233,1183,948,41,819,3,3,30,7,28,29,0,25,32902-identifyCardReverse_DSC_0013__1.png
138,D:/generated_image/32902-identifyCardReverse_DSC_0013__2.png,1134,1376,197,109,1303,333,1175,1039,49,811,4,3,30,9,27,29,1,22,32902-identifyCardReverse_DSC_0013__2.png
139,D:/generated_image/32902-identifyCardReverse_DSC_0013__3.png,1219,1429,265,110,1347,429,1158,1122,56,796,5,2,30,11,25,29,1,20,32902-identifyCardReverse_DSC_0013__3.png
140,D:/generated_image/32902-identifyCardReverse_DSC_0013__4.png,1295,1471,331,111,1381,523,1133,1197,63,776,7,2,30,12,24,29,1,19,32902-identifyCardReverse_DSC_0013__4.png
141,D:/generated_image/32902-identifyCardReverse_DSC_0013__5.png,1361,1502,395,111,1405,613,1099,1262,71,750,8,2,29,14,23,29,1,17,32902-identifyCardReverse_DSC_0013__5.png
142,D:/generated_image/32904-identifyCardReverse_DSC_0013__0.png,1105,1474,166,176,1382,188,1361,973,142,934,3,5,30,5,29,28,3,27,32904-identifyCardReverse_DSC_0013__0.png
